,Titulo,Precio,Ratings,Total de comentarios,Personal Rating,Instalaciones Rating,Limpieza Rating,Conforts Rating,Calidad Rating,Ubicacion Rating,Rating - Fantastico,Rating - bien,Rating - aceptables,Rating - malos,Rating - muy malas,Comentarios en español,Comentarios en ingles,tipos_clientes_familias,tipos_clientes_parejas,tipos_clientes_grupos_amigos,tipos_clientes_personas_solas,tipos_clientes_personas_por_trabajo
0,City Express by Marriott Rosarito,"MXN 1,974",7.4,"1,096 comentarios",0,0,7.9,7.5,7.5,7.6,(479),(304),(135),(74),(104),(603),(344),(461),(449),(39),(80),(120)
1,Puerto Nuevo Baja Hotel & Villas,"MXN 1,932",7.9,"1,095 comentarios",0,0,8.6,7.7,8.0,8.1,(544),(315),(123),(56),(56),(642),(345),(640),(327),(35),(21),(40)
2,"OYO Hotel Hacienda Don Luis, Rosarito",MXN 697,5.2,"1,394 comentarios",0,0,0,0,6.5,5.3,(276),(323),(209),(149),(437),(529),(615),(572),(483),(76),(150),(164)
3,Las Rocas Resort & Spa,"MXN 1,947",8.0,"1,894 comentarios",0,0,0,0,8.5,7.8,(1019),(505),(171),(99),(98),(1330),(390),(571),(1060),(86),(84),(77)
4,Vista Hermosa Resort and Spa,"MXN 2,415",9.0,659 comentarios,0,0,9.4,9.1,9.2,9.3,(487),(119),(30),(12),(10),(591),(48),(262),(264),(44),(17),(21)
5,Rosarito Inn,"MXN 3,450",8.6,445 comentarios,0,0,9.0,8.6,8.7,8.7,(293),(94),(27),(16),(15),(411),(20),(152),(157),(56),(8),(6)
6,Luxury Beachfront Condo in Rosarito with Pool & Jacuzzi,"MXN 2,515",9.7,4 comentarios,0,0,0,0,10,9.4,(4),0,0,0,0,0,(4),(1),(2),(2),0,0
7,Del Mar Inn Rosarito,"MXN 1,656",7.7,622 comentarios,0,0,8.4,7.6,7.9,7.8,(290),(184),(67),(37),(44),(440),(131),(299),(206),(41),(25),(39)
8,Poco Cielo Hotel,"MXN 2,722",8.1,105 comentarios,0,0,0,0,8.9,7.9,(60),(23),(12),(6),(4),(78),(15),(14),(72),(8),(4),(5)
9,Hotel Corona Plaza,"MXN 1,572",6.2,"1,712 comentarios",0,0,7.7,6.2,6.5,6.6,(477),(469),(253),(197),(316),(989),(534),(779),(638),(91),(45),(62)
10,Seafront Luxury Condo in Rosarito with Pool & Jacuzzi,"MXN 3,524",9.9,7 comentarios,0,0,0,0,10,10,(7),0,0,0,0,(3),(2),(5),(2),(2),0,0
11,Holiday House with Pool & Jacuzzi in Rosarito,"MXN 5,960",10,5 comentarios,0,0,0,0,10,9.5,(5),0,0,0,0,(2),(2),(2),(1),(1),(1),0
12,Solari Casa de Huespedes,MXN 675,6.5,100 comentarios,7.6,6.6,7.0,6.9,7.1,6.2,(34),(25),(16),(5),(20),(57),(30),(14),(50),(4),(24),(12)
13,Quinta Pacifica Beachfront Villas,"MXN 1,983",7.0,476 comentarios,0,0,7.5,7.4,7.9,8.0,(210),(101),(51),(48),(66),(397),(61),(205),(148),(51),(8),(16)
14,Hotel Festival Plaza Playas Rosarito,"MXN 2,142",7.0,"1,399 comentarios",0,0,7.7,7.2,7.5,7.6,(554),(372),(175),(119),(179),(1089),(214),(467),(605),(130),(48),(59)
15,Castillos Del Mar,"MXN 2,216",6.4,788 comentarios,0,0,0,0,7.5,6.2,(272),(172),(123),(78),(143),(482),(203),(302),(380),(41),(19),(32)
16,Hotel Cantaritos,"MXN 1,613",7.2,10 comentarios,6.8,8.0,8.3,8.0,7.0,8.0,(5),(2),(1),(2),0,(6),(4),(1),(3),(2),(4),(4)
17,"Free Day At Beautiful Coastal Getaway Queen Beds, Pool Access, Balcony","MXN 1,363",1.0,1 comentario,0,0,0,0,2.5,2.5,(1),0,0,0,0,0,(1),(1),0,0,0,0
18,Departamento rústico,"MXN 1,101",6.6,5 comentarios,0,0,7.0,6.5,6.0,6.5,(2),(1),(1),(1),0,(1),(3),(2),(2),(1),0,0
19,Luxury Condo Downtown Rosarito,"MXN 1,800",9.8,6 comentarios,9.6,10,10,10,10,9.2,(6),0,0,0,0,(4),(2),(3),(3),(3),0,0
20,Villa-Mar Beach Side compound,"MXN 1,753",7.0,12 comentarios,0,0,7.9,7.1,7.5,8.3,(5),(3),(1),(1),(2),(9),(3),(7),(1),(1),(2),(2)
21,Playa Bonita Rosarito,"MXN 4,000",9.7,15 comentarios,0,0,0,0,10,9.7,(14),(1),0,0,0,(9),(4),(5),(1),(3),(2),(2)
22,Luxury 2BR Condo Rosarito (D),"MXN 2,173",9.7,3 comentarios,9.2,10,9.2,10,10,10,(3),0,0,0,0,(2),(1),(1),0,0,0,0
23,3 bedroom home & 5 minute drive to Papas n beer,"MXN 4,222","Excepcional 9.8
40 comentarios externos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
